Sp.Scien.jetz,Sp.Eng.jetz,Sp.Scien.hbw,Sp.Eng.hbw,Match_jetz_birdlife,Order,strategy_3,distance_4,distance_quanti_RES0,distance_quanti_ALL
Coracina_schisticeps,Grey-headed-Cuckooshrike,Coracina_schisticeps,Grey-headed-Cuckoo-shrike,Coracina_schisticeps,PASSERIFORMES,resident,resident,0,198.634710046603
Coracina_striata,Bar-bellied-Cuckooshrike,Coracina_striata,Bar-bellied-Cuckoo-shrike,Coracina_striata,PASSERIFORMES,resident,resident,0,476.651553706284
Coracina_sula,Sula-Cicadabird,Coracina_sula,Sula-Cicadabird,Coracina_sula,PASSERIFORMES,resident,resident,0,26.14471339244
Coracina_temminckii,Cerulean-Cuckooshrike,Coracina_temminckii,Cerulean-Cuckoo-shrike,Coracina_temminckii,PASSERIFORMES,resident,resident,0,130.751645109489
Coracina_tenuirostris,Slender-billed-Cicadabird,Coracina_tenuirostris,Slender-billed-Cicadabird,Coracina_tenuirostris,PASSERIFORMES,partial_mig,variable,1892.41455994856,1892.41455994856
Coracina_typica,Mauritius-Cuckooshrike,Coracina_typica,Mauritius-Cuckoo-shrike,Coracina_typica,PASSERIFORMES,resident,resident,0,0
Coracopsis_nigra,Black-Parrot,Coracopsis_nigra,Black-Parrot,Coracopsis_nigra,PSITTACIFORMES,resident,resident,0,202.885276187126
Coracopsis_vasa,Vasa-Parrot,Coracopsis_vasa,Vasa-Parrot,Coracopsis_vasa,PSITTACIFORMES,resident,resident,0,215.762347297627
Coracornis_raveni,Maroon-backed-Whistler,Coracornis_raveni,Maroon-backed-Whistler,Coracornis_raveni,PASSERIFORMES,resident,resident,0,66.5598104503656
Coragyps_atratus,Black-Vulture,Coragyps_atratus,American-Black-Vulture,Coragyps_atratus,ACCIPITRIFORMES,resident,resident,0,1282.09143285961
Corapipo_altera,White-ruffed-Manakin,Corapipo_leucorrhoa,White-ruffed-Manakin,Corapipo_altera,PASSERIFORMES,resident,resident,0,157.979134395932
Corapipo_gutturalis,White-throated-Manakin,Corapipo_gutturalis,White-throated-Manakin,Corapipo_gutturalis,PASSERIFORMES,resident,resident,0,274.408217998787
Corapipo_leucorrhoa,White-bibbed-Manakin,Corapipo_leucorrhoa,White-ruffed-Manakin,Corapipo_leucorrhoa,PASSERIFORMES,resident,resident,0,93.9818335500043
Corcorax_melanorhamphos,White-winged-Chough,Corcorax_melanoramphos,White-winged-Chough,Corcorax_melanorhamphos,PASSERIFORMES,resident,resident,0,360.912517460303
Cormobates_leucophaea,White-throated-Treecreeper,Cormobates_leucophaea,White-throated-Treecreeper,Cormobates_leucophaea,PASSERIFORMES,resident,resident,0,280.698020185407
Cormobates_placens,Papuan-Treecreeper,Cormobates_placens,Papuan-Treecreeper,Cormobates_placens,PASSERIFORMES,resident,resident,0,149.255273412574
Corvinella_corvina,Yellow-billed-Shrike,Corvinella_corvina,Yellow-billed-Shrike,Corvinella_corvina,PASSERIFORMES,resident,resident,0,556.636537159031
Corvus_albicollis,White-necked-Raven,Corvus_albicollis,White-necked-Raven,Corvus_albicollis,PASSERIFORMES,resident,resident,0,494.006445011439
Corvus_albus,Pied-Crow,Corvus_albus,Pied-Crow,Corvus_albus,PASSERIFORMES,resident,resident,0,1182.18412108395
Corvus_bennetti,Little-Crow,Corvus_bennetti,Little-Crow,Corvus_bennetti,PASSERIFORMES,resident,resident,0,606.407204331319
Corvus_brachyrhynchos,American-Crow,Corvus_brachyrhynchos,American-Crow,Corvus_brachyrhynchos,PASSERIFORMES,partial_mig,variable,1338.1779045921,1338.1779045921
